OMICS_ICL103_NS1_7hr_Protein_1_068,OMICS_ICL103_NS1_7hr_Protein_3_030,OMICS_ICL103_NS1_7hr_Protein_3_030.1,OMICS_ICL103_NS1_7hr_Protein_4_010,OMICS_ICL103_NS1_7hr_Protein_5_039,OMICS_ICL103_VN1203_7hr_Protein_1_055,OMICS_ICL103_VN1203_7hr_Protein_2_060,OMICS_ICL103_VN1203_7hr_Protein_4_004,OMICS_ICL103_VN1203_7hr_Protein_4_004.1,OMICS_ICL103_VN1203_7hr_Protein_5_075
ACO2,19.528846788150222,19.47065701504032,19.28058731626907,19.91592728771709,19.06700425538099,20.57284372665024,19.959289426119618,19.817575606855325,19.58070687305077,19.83834039326468
ACOT9,19.740972048906386,19.91573579246056,19.54753820604862,20.12718821108127,19.564574110092167,20.229426804305163,19.790405999788767,19.87111790272668,20.229853557433444,20.174048207322876
ACSF2,17.442116784901224,17.44791375465045,15.695920062818708,18.75541510452561,17.314802315219083,18.855770330600805,17.36446304564447,18.188462041290705,18.2732348745992,17.638477784959775
ACSL3,21.442938387599728,21.528630654519187,21.103468669774223,22.038954697373764,22.31094743488335,22.270567711100444,22.42598614682012,21.346885359469013,22.543966998405594,22.172527536169135
ACSL4,17.93178884822952,18.043652487712013,18.40319788891414,18.951971888193423,18.08348467485435,18.625428359976002,18.919775532800703,18.282946610435133,18.438651073643765,18.064709668344374
ACTA2,29.3808942695869,29.18936180882713,29.456066043797627,28.80241678519943,29.042847458769813,28.883074028114013,28.609173537075296,28.378719272103464,29.20106806322749,29.059658303098118
ACTBL2,28.246865211722458,28.383155151519425,27.10553904220626,28.642419644645848,28.309190007943446,28.61359828661203,28.3464055836834,29.090549312515844,28.81977186976905,28.41067827096199
POTEKP,32.35106579101499,32.486921998327354,32.89639060358065,32.46127022578431,32.175717335529974,32.15713434222678,32.612509699726346,31.864598171306312,32.23345260965722,32.18776204508083
ACTB,24.067041354617785,23.6025428433038,23.38887966497294,24.33358312403361,22.37739420328372,24.111169440409274,23.768907773255794,24.149799599971622,24.954865153499973,23.55170719308415
ACTN1,20.624803201729677,21.193316370227638,19.952947856367306,20.568557224298832,17.41083199314976,20.96957627018937,19.3577534797065,21.800788631193143,21.556859311585708,21.012614167025674
ACTN2,18.653386320446476,18.796454966894576,19.694493997189443,19.745461748732556,18.912130682472046,18.369205016934014,19.646036107539075,18.248306306297575,20.198723917897706,18.45229958742383
ACTN3,27.303290110067472,27.444870319042373,27.004033114636428,27.347004196366132,27.386825096068463,27.577099752463504,27.33333827732949,27.35553124951565,27.31906916951405,27.19703843089355
ACTN4,25.628683582130552,25.950113051412796,25.732650235423332,26.06082045147054,25.81014213175164,25.95621005432356,25.883397101031797,25.962415565841408,26.225047723990908,25.827252751888494
ACTR1B,21.750300266000185,22.54802478143707,22.357644185318783,22.139190937831717,21.52796728550429,22.743175740275177,21.56513454963801,22.37058550137734,22.549474928147,22.291926223628042
ACTR1A,21.943228613365793,22.54802478143707,22.29139889841572,22.232749204912274,22.182398735328924,22.799668020191874,22.61116408160184,22.37058550137734,22.578508465371804,22.27503450152887
ACY1,18.306471492705416,18.944707124186134,18.158785151824834,17.522721204626702,17.734621657704665,19.284340792605327,18.345953083590523,19.037158895459804,18.147872354761006,18.8574847629898
ADAM10,21.619405537318844,21.488575569998588,21.640573440230064,21.043413927920515,21.624746413489007,20.65227860084984,21.356718256842743,21.45531506695763,21.45557483394188,21.46693658855741
AGPS,20.649687806055628,20.555242761788747,20.402819348671137,20.997239180191656,20.63773805811357,20.128518270429304,20.741381294396547,20.177990487665202,20.644848873255512,20.754975770914307
ADH5,22.543455274357015,23.257592296226576,22.85353636317008,22.773141729100182,22.45664280749024,23.808529175999308,22.794768992270825,23.369139557696926,22.58851287142805,22.54995731658895
ADK,22.12026668521707,22.540089929843866,22.442894183065036,22.65139787353819,22.965168248691295,23.350695879896826,22.116371487453122,23.14188202392008,23.041647673602764,22.571595398371358
ADRM1,20.66248139259848,20.388984434415555,19.980532677337187,20.238652257211736,20.479344984666987,19.050905931891652,20.913615288606056,20.77801586287496,19.93140635048638,20.42412095555056
SLC25A4,26.159410667315814,26.20192605716137,26.277023837045235,26.413837117516287,26.400011064858706,26.320993054679967,26.32108608977579,26.30884770611062,26.391969896903888,26.244128771219497
SLC25A5,25.552835302031234,25.402722050168972,23.882839758151782,26.01964438842941,25.901062404368105,25.456305582654714,24.155361523152067,25.980376432813802,25.994332711016646,26.029954838025365
SLC25A6,26.16676519438163,26.150593707461816,26.266302857189423,26.417176720311062,26.432026740032477,26.259161652829526,26.263789674145002,26.30884770611062,26.391969896903888,26.25236961164785
SLC25A31,26.159410667315814,25.93179022207038,26.24835566851044,26.417176720311062,26.062015377786928,26.334219274797015,26.38487919176751,26.14541833885297,26.596802767318216,26.23231256107622
PGM3,19.403218461778913,19.06922244083337,19.227056933015703,19.483925907411102,19.02622988518914,19.941827841239522,18.837519736885007,19.60232381442309,19.415418544017257,19.986899229468865
AHNAK,24.219463289972172,23.715034329611495,23.746070373101333,23.421526752358766,23.920501021096555,23.211225316841357,24.093225381780762,23.672134457892952,23.26948169424152,23.84489349212279
AHSA1,23.003629989178783,22.617472275995357,22.79408529382369,23.14538159427337,23.111316242623232,22.653765079076855,23.310377248912516,21.89049657226691,23.027835743028902,22.794012930855015
AIFM1,21.207248372960066,21.017578546587217,21.189632737066034,21.11457298568066,20.65050543396311,21.363836323613313,21.2912428523731,21.011399746384285,21.199354629262224,21.425455927475113
AIMP1,22.479775680310972,22.35792340757007,22.52248465840662,22.312598821895413,22.57613157245128,22.561859387944807,22.67244319286056,22.049010862931183,22.339955921290226,22.327654098619327
AIMP2,18.98741965077747,18.665854061520434,18.156591077360428,18.068223474094918,19.316874628246804,18.750956384277497,19.30029335467676,18.85598928114159,18.892859641403835,18.45756739966846
