OMICS_ICL103_Mock_18hr_Protein_1_067,OMICS_ICL103_Mock_18hr_Protein_2_098,OMICS_ICL103_Mock_18hr_Protein_3_050,OMICS_ICL103_Mock_18hr_Protein_4_116,OMICS_ICL103_Mock_18hr_Protein_4_116.1,OMICS_ICL103_Mock_18hr_Protein_5_023,OMICS_ICL103_VN1203_18hr_Protein_1_111,OMICS_ICL103_VN1203_18hr_Protein_2_013,OMICS_ICL103_VN1203_18hr_Protein_3_038,OMICS_ICL103_VN1203_18hr_Protein_5_083
SLC25A4,26.65016263233062,26.221747060372586,26.270755345290148,26.421660568146592,26.539590863699335,25.759524009403655,26.375818116622177,26.241099268834496,26.528626224703046,26.398146143833543
SLC25A5,26.336238634687582,26.527897911929138,26.007083837808,25.558553438966985,25.95299707079691,24.15518312662121,22.685656519583993,25.313202588693297,25.435730385227743,25.58954912009778
SLC25A6,26.633614158689426,26.20565241434322,26.356496286604358,26.30983557853293,26.452292760948616,25.967402892615333,26.336308534549296,26.243380334830988,26.48141034897737,26.370430492093732
SLC25A31,26.6712008070677,26.36504403898277,26.357674126330952,25.993165993337353,26.28023212284303,25.765009374741943,26.507857366640724,26.79768088023278,26.528626224703046,26.431117273483775
AFG3L2,18.889020863089158,19.03450928529083,18.088270988688503,19.295770227901464,19.555892871507435,16.194734577827898,18.802838337496134,18.568910340932486,18.323498328176672,18.86695235225378
PGM3,19.585328028377653,19.800122935356264,19.491944507650373,19.129550016323485,19.591432192312276,18.961549470847928,18.10275838830976,19.49600877989939,19.670158633244665,19.10822328447896
AHNAK,23.791654421690797,23.284025908896297,23.635453204133263,24.202951085913522,23.720969505880944,23.677485889319932,23.638875173741262,24.069173210715785,23.32588053157972,23.038386309129272
AHSA1,22.79979254507778,22.514471006788135,22.08452090640256,23.197154567730173,22.262098122600694,23.232867697779763,22.81709284513324,23.176794009265578,22.67866155675383,22.63848114627997
AIFM1,21.250596840839684,21.366407349352386,21.272606760317327,20.818691596020088,21.1546972887649,21.554175217915994,21.045174216241882,20.901801561865284,21.14528261429593,21.204850177357294
AIMP1,22.714696057735537,22.823380193109706,22.743430248613986,22.73586716822767,22.844095831428163,22.955569357795405,22.43577580482061,22.279127179703487,22.261591644647655,22.52560312012101
AIP,26.837713531805772,26.631005147945128,26.810916286461286,26.67790853186339,26.538777941460154,26.84737513773424,26.722813493434515,26.548623478212875,26.271930021203694,26.53697660225136
AKR1A1,20.022391360818176,20.954707481931237,20.867007605755816,21.162541425225314,20.0324558608978,20.667823104221647,21.067477948817398,21.223142771567066,20.119342023210905,20.16119728869888
AKR1C1,24.53697429346324,24.58548423860238,24.62156906854225,25.054937625640395,24.555203282638214,24.735665661109948,25.22213493221687,25.099652453177704,24.961130390868597,24.56564132066884
