OMICS_ICL103_NS1_24hr_Protein_1_029,OMICS_ICL103_NS1_24hr_Protein_2_084,OMICS_ICL103_NS1_24hr_Protein_3_051,OMICS_ICL103_NS1_24hr_Protein_4_071,OMICS_ICL103_NS1_24hr_Protein_5_011,OMICS_ICL103_VN1203_24hr_Protein_1_117,OMICS_ICL103_VN1203_24hr_Protein_1_117.1,OMICS_ICL103_VN1203_24hr_Protein_2_095,OMICS_ICL103_VN1203_24hr_Protein_3_113
POTEKP,32.61289062242495,32.04626976075854,32.29098680082684,32.10525041128177,32.38691383920886,32.716875608371865,32.125839657066095,32.04213242893255,32.737496839539865
ACTB,23.883488519427488,24.055880715566843,23.36565394341912,24.230925783713474,23.377517642889543,23.644081707474754,24.156161838700054,24.507793224663402,23.60464461488043
ACTN1,19.83094051089402,21.282023709890822,20.707548693684075,21.949044958945187,18.093809073803037,21.684910384311294,21.314243903767974,21.772000207532734,20.86568307942385
ACTN2,18.647076636359063,18.81047156655159,16.75031869408437,19.329452470184158,19.439662157855253,18.363696951386274,19.03418542388998,18.82263207155819,18.836393190574256
ACTN3,27.232691945280575,27.51607492692299,27.326189880308622,27.11906466892414,27.234309686871878,27.572410210134837,27.328640952308234,27.53536787755049,27.384898510900936
ACTN4,25.907475560970234,25.91198326299685,25.810422640619223,26.201107542513462,25.85719815405212,25.82833210872418,26.03403775859244,26.128355558215574,26.055749830500666
ACTR1B,22.395891656874376,22.55938999107609,22.552473484929187,22.198755330026678,21.77648153155151,22.740851742114103,22.38333699279292,22.510709994424445,22.494911816111774
ACTR1A,22.517801609118756,22.331559186389345,22.647877442001114,22.333590194979628,22.106863907525003,22.740851742114103,22.38333699279292,22.523745253625126,22.494911816111774
AGPS,20.634267018233906,20.98290014437199,21.100907005906727,20.661130776705395,20.345694567205932,20.922970287394023,21.032405770740972,20.92868058570253,20.59119688766922
ADH5,22.460683595420814,23.067488049542963,22.519011329722076,22.964861376684617,22.593635994762668,22.38621377435954,22.03610415972826,21.977337274889784,21.71465354511597
ADK,22.136446765547582,22.660196581599088,22.430776272212196,22.561110641758457,23.0994662059316,22.784284960792412,21.54735097973814,21.575929390899677,20.887265996188106
ADPGK,18.674334821252984,18.81179120976702,19.319201106178,18.8655166074632,19.27218460344376,18.451366556212054,19.737780384004697,19.64635448329198,19.20593527933475
ADRM1,18.725047622217918,20.831395444330404,20.389083204392854,20.729253760266225,20.376933044289053,19.784586911992115,20.432018618012727,20.59248955042865,20.10310155658202
SLC25A4,26.66139181850697,26.42344358808121,25.962269715176845,26.197814868593042,26.251934153893508,26.672160917324366,26.332588142412277,26.625760859375166,26.24672484759926
SLC25A5,25.04106938809616,25.881318852054147,25.249735179983073,25.893670308064767,26.148497282351272,25.3209627492744,25.8705604627923,26.145900070391153,24.70115022865937
SLC25A6,26.60662442608873,26.42344358808121,25.962909711738803,26.197814868593042,26.233287045536347,26.469329702776594,26.42130287757843,26.6041757412621,26.203080423631025
SLC25A31,26.941484818422634,26.477224717951486,25.962269715176845,25.75068240195756,26.271413062018947,26.672160917324366,26.53293413582444,26.669256215121493,26.24672484759926
