ICL103_Mock_0hr_41,ICL103_Mock_0hr_42,ICL103_Mock_0hr_43,ICL103_Mock_0hr_44,ICL103_Mock_0hr_45,ICL103_VN1203_0hr_46,ICL103_VN1203_0hr_47,ICL103_VN1203_0hr_48,ICL103_VN1203_0hr_49,ICL103_VN1203_0hr_50
HTR1E,6.74961025372412,6.70856474207143,6.84240461533123,6.99371569841833,6.9346121944549,7.05035749538721,7.05337795632027,6.88622061037339,7.01333481958242,6.94864120817116
HTR1F,8.82054180823881,8.6670040451595,8.91681885175106,9.02733329334957,8.95716387270913,9.35659847078681,9.46831509463803,9.07994530381527,9.24979114260975,9.34773417022018
HTR2A,6.46545468503614,6.51561662015928,6.48427274377893,6.6339197430719,6.58893182440635,6.56487583541386,6.62208494377861,6.46499544560887,6.553075337051,6.59763952178491
HTR2B,6.43289876871241,6.83721499682133,6.63346627497071,6.52864437453911,6.42796405548045,6.59451717600244,6.52947428411253,6.92235529434883,6.71668923262825,6.79717792576111
HTR2C,6.33702420036523,6.23047524145774,6.28663449078865,6.27910470414058,6.32531875719065,6.33741381115818,6.32531875719065,6.37557223123858,6.36347960648506,6.35250744013954
HTR3B,6.61287913373617,6.62855363209216,6.6479904137587,6.69745808779209,6.69741464724161,6.66690349414557,6.64501304123049,6.70097219448785,6.71668923262825,6.73473629528609
HTR3C,6.90816428794068,6.9291735480327,6.93135455754588,7.22409535406944,7.15306684584228,7.25235461663574,7.39219088169065,6.99088285443341,7.06960871152317,7.11158852768386
HTR3D,6.90816428794068,6.97228789317074,7.24205482634282,6.64111921458102,6.6033685548427,6.64602607317922,6.73937854548842,7.14608023169297,7.19665020022798,7.27083412418817
HTR3E,7.32702496568315,7.43938124755518,7.47269682768316,7.84581324892137,7.72793237377433,7.91002174905515,7.97984883924442,7.52919496487331,7.91803390425437,7.73458144608948
HTR5A,6.38459128973368,6.36008303711701,6.26977639812122,6.34147842842294,6.34647616857453,6.30696191065615,6.32531875719065,6.34813472178172,6.32036474332677,6.27943717328472
HTR6,8.11247924438715,7.79245706725071,8.0102664611675,9.0312850438029,8.9676009257754,9.19004855004419,9.17411159064697,8.00956929053529,8.40572845810154,8.27545995674098
HTR7P1,8.511691422014934,8.467360355160519,8.765982834904776,9.329707013276408,9.257764158107829,9.557872103527696,9.43619565794053,8.961094147361255,9.542644830441969,9.388627943398781
MTR,8.679704828216723,8.777588340168053,8.550676102725086,8.539393929152526,8.502815680524932,8.349975638506114,8.967254215781955,8.648540899628559,8.413117667819463,8.39279075968984
OPLAH,7.98102194009153,7.94469364348427,8.36822426739894,8.10007877513206,8.13172929055643,8.43676131479298,7.97984883924442,8.08924714830065,8.5471321218989,8.4839468099401
PFKFB2,8.57689389600868,8.64391382938731,7.9493882314592,7.83157939554543,7.86602398774783,7.57878401001662,8.55737310732341,8.08715682707374,7.54759911178093,7.54722257445897
PFKFB3,9.941832371461704,9.758814736782629,9.77951246396368,9.8155648649574,9.79343337153062,9.703817072615909,9.517430692935564,9.676209654607765,9.691738383903745,9.624405064568775
PFKFB4,7.96879058682732,7.93025090311848,7.91940706884866,8.06434950667988,7.99692241919202,7.91912769947592,7.57470729282354,7.62135270238493,7.47576473467696,7.55329012219543
PGLS,12.6399974233213,12.4902425875414,12.9595681958938,12.8142204122848,12.7762990765539,12.8191796491448,12.0777603319202,12.7749424449263,12.8211060003495,12.8109503500304
PTS,13.0503245920102,13.0911313910463,13.230014592627,13.2355531581251,13.3484617159912,13.395757341861,13.3131689333744,13.2692251138008,13.4916415715353,13.4095995796498
DHCR7,14.2172623275924,14.1992562208566,14.0748432622508,13.8863734153296,13.8950810308074,13.6097153295072,13.4755781083019,13.8454255924567,13.1761826703939,13.5672176797944
AKAP10,8.26165350722117,8.06711638834406,7.49044137395439,7.27228070427446,7.3018877015417,6.77796849142797,7.34793747167783,7.44512537376285,6.66073089021642,6.70773107140237
AKAP11,9.56926616245453,9.587154860108365,9.4169462586288,9.3199441799711,9.290679125170625,9.173205323609066,9.710676703372505,9.445646872273414,9.202621262602104,9.264139239086985
