OMICS_ICL103_Mock_3hr_Protein_1_079,OMICS_ICL103_Mock_3hr_Protein_2_027,OMICS_ICL103_Mock_3hr_Protein_3_025,OMICS_ICL103_Mock_3hr_Protein_4_007,OMICS_ICL103_Mock_3hr_Protein_5_063,OMICS_ICL103_NS1_3hr_Protein_1_059,OMICS_ICL103_NS1_3hr_Protein_2_044,OMICS_ICL103_NS1_3hr_Protein_3_014,OMICS_ICL103_NS1_3hr_Protein_4_033,OMICS_ICL103_NS1_3hr_Protein_5_081,OMICS_ICL103_VN1203_3hr_Protein_1_085,OMICS_ICL103_VN1203_3hr_Protein_2_058,OMICS_ICL103_VN1203_3hr_Protein_3_076,OMICS_ICL103_VN1203_3hr_Protein_4_087,OMICS_ICL103_VN1203_3hr_Protein_5_008
ABCD4,17.782674573359316,17.89431054279828,16.30338271965886,18.433697367031268,17.427377701131906,17.85067210160637,17.427425736139494,16.802228550752446,17.791210152516786,17.946801968118464,18.487013099072986,18.1437778484124,18.90186291779623,18.463538164691418,17.603620126506964
ABCE1,22.839044579726743,23.10938890073998,22.928406983292316,23.08805469542569,23.008963020008913,23.022707567807544,22.77629028350562,23.29104784791975,23.20200049146593,23.074216418099567,22.896680346138176,22.802884083391298,22.77715900093592,23.08178687045984,22.752492416469153
ABCF1,21.476413222255196,21.169892214544348,20.885361864957602,21.00722192748071,21.5062638216032,21.359071908008865,20.82355740733094,21.098944613275535,20.872616948619445,21.225136884835003,21.041029420186867,20.979157217248375,21.0349692839153,21.060050768969944,20.805426085175483
ABHD11,17.903966627008362,19.671530672417987,19.193084206421812,19.45884043752871,19.788981761301628,19.501902632869008,19.845569749636482,20.042600290344538,19.52230071327199,19.661827587274402,19.538573949128875,19.262200241693183,19.745027958624014,19.97905176945342,18.777042638481397
ACACA,22.269216509862243,22.17522433912589,22.464761531941733,22.14155335158789,22.29609475149262,21.954967420057407,22.322706559586543,22.095822924148123,22.146816610331314,22.129731643952262,22.555428499004904,22.46692294764031,22.553145718040355,22.328770264651205,22.104043283761005
ACACB,20.364944359609606,20.195926103923938,20.720979477427793,20.35096616944553,20.2887347921761,20.235133273566863,20.26128250635454,20.533161074889726,20.351409796863287,20.34340217964473,20.0180600856519,20.74182135227674,20.783428489302302,20.470103417139196,20.46336178633318
ACAD9,21.858788473129295,21.78804274707821,21.901762139490188,22.486653331238095,21.84580380117491,21.593682244359087,22.08882217344963,22.006472808465205,22.250687385578807,21.946525004665475,22.003750302166495,22.235578070598628,22.225691779942274,22.21919122501264,21.755128494250847
ACADVL,20.7942333512901,21.03534504810471,19.73716822266138,20.497110672034754,21.545844965182688,20.411878699524557,20.747716125193364,20.949286181901293,21.341077595639877,20.819160107677785,21.41486424710875,21.044459840971825,20.95323051332912,21.24195826631974,20.64342288530127
ACIN1,20.790832117125063,20.55221897004548,19.584295417401897,20.48118374210145,20.569392179560424,20.223318333348733,20.364224122041314,20.96342317166399,20.317608448810585,20.283480553084587,21.047501086509484,20.93595081834024,20.76817284655856,21.114591820183335,20.775517252496243
ACTL6A,22.113531151180748,22.47770461354596,22.07441586258423,22.160164094518727,22.447992704325927,22.13054759568849,22.232197824379416,22.300354943660846,22.176947063429203,21.966441268404115,22.334302559643653,22.2998176389224,22.383728118544603,22.389094276447914,22.226930315298276
ACLY,22.588185800551926,22.631911123252642,22.250766164559693,22.575513265989617,22.672498101187124,21.98809108298244,22.35580874943762,22.777558163312865,22.39369049551272,22.227900010493226,22.88193190708489,23.056009471470013,22.262741575719467,22.83946023192972,21.714546867912574
ACOT13,22.95333338784705,24.175117446608322,23.405118263972458,23.76260773432892,23.834759037398392,23.540764170934636,23.5194742670283,23.804062935793606,23.871147877099965,23.782501042430745,24.433582610185436,23.35564391914649,23.783612423399802,23.79290794086689,23.738030196284676
ACO1,21.90764199453365,21.59343704006067,21.62698093611845,21.128418322224388,21.43125889060665,21.823377003927675,21.98376577181923,21.763676100061502,21.776325509595072,22.137059197948314,21.083187750713012,21.665747228589463,21.325912408696002,22.08023514672471,22.097455433015867
ACO2,19.420204889823953,19.75321680570711,19.37878651035512,19.61903374325746,19.973390309639612,19.93090015408257,19.938116954544746,19.579058060753475,19.726321962493007,19.433493926466387,20.323520665259018,19.60756367582659,19.435410522733804,19.79018225036052,19.91601700941802
